crime_id,district,police_station,crime_type,date,latitude,longitude,victim_age,offender_age,status,repeat_offender
CR001669,Bengaluru Urban,Bengaluru PS 4,Vehicle Theft,2024-12-12,12.997945,77.51135,59,29,Under Investigation,0
CR001670,Mangaluru,Mangaluru PS 5,Burglary,2025-03-20,12.938437,74.865866,66,34,Open,0
CR001671,Bengaluru Urban,Bengaluru PS 1,Vehicle Theft,2023-10-29,12.994382,77.554939,57,22,Closed,0
CR001672,Bengaluru Urban,Bengaluru PS 3,Robbery,2024-01-27,12.874428,77.559287,64,35,Under Investigation,1
CR001673,Kalaburagi,Kalaburagi PS 2,Drug Offence,2024-04-23,17.35907,76.796978,36,25,Under Investigation,0
CR001674,Mangaluru,Mangaluru PS 3,Cybercrime,2023-12-05,12.923332,74.788934,63,47,Under Investigation,0
CR001675,Ballari,Ballari PS 1,Robbery,2023-03-29,15.195339,76.908398,28,27,Under Investigation,0
CR001676,Mangaluru,Mangaluru PS 3,Vehicle Theft,2024-09-24,12.847216,74.886609,31,62,Under Investigation,0
CR001677,Ballari,Ballari PS 3,Theft,2024-02-22,15.088995,76.925649,72,43,Under Investigation,0
CR001678,Ballari,Ballari PS 1,Robbery,2024-01-10,15.114837,76.965853,27,42,Charge Sheet Filed,0
CR001679,Bengaluru Urban,Bengaluru PS 5,Drug Offence,2023-06-24,13.016153,77.542712,47,19,Open,1
CR001680,Dharwad,Dharwad PS 5,Vehicle Theft,2023-05-04,15.391725,74.999139,21,18,Under Investigation,0
CR001681,Belagavi,Belagavi PS 2,Theft,2023-09-04,15.932308,74.475382,65,59,Open,0
CR001682,Vijayapura,Vijayapura PS 5,Burglary,2023-08-16,16.868638,75.618057,58,52,Under Investigation,1
CR001683,Ballari,Ballari PS 5,Robbery,2024-10-20,15.195926,76.92294,62,46,Under Investigation,1
CR001684,Tumakuru,Tumakuru PS 2,Fraud,2023-07-16,13.308919,77.031264,57,58,Open,0
CR001685,Vijayapura,Vijayapura PS 3,Vehicle Theft,2023-01-19,16.783769,75.678557,53,35,Under Investigation,1
CR001686,Shivamogga,Shivamogga PS 4,Theft,2024-11-01,13.949304,75.527531,22,24,Under Investigation,1
CR001687,Mysuru,Mysuru PS 3,Burglary,2025-05-18,12.345427,76.626909,37,21,Charge Sheet Filed,0
CR001688,Mangaluru,Mangaluru PS 2,Drug Offence,2023-06-25,12.97285,74.852083,53,19,Closed,0
CR001689,Bengaluru Urban,Bengaluru PS 2,Robbery,2023-10-06,12.975744,77.609083,54,51,Under Investigation,0
CR001690,Vijayapura,Vijayapura PS 3,Assault,2023-01-17,16.874595,75.630854,65,59,Closed,0
CR001691,Mysuru,Mysuru PS 2,Robbery,2024-08-21,12.356206,76.532005,29,62,Charge Sheet Filed,0
CR001692,Vijayapura,Vijayapura PS 1,Burglary,2025-01-13,16.805842,75.59912,61,51,Closed,0
CR001693,Mangaluru,Mangaluru PS 4,Cybercrime,2024-08-31,12.921098,74.879015,53,22,Open,0
CR001694,Mangaluru,Mangaluru PS 5,Burglary,2023-09-06,12.930904,74.881006,64,30,Charge Sheet Filed,0
CR001695,Dharwad,Dharwad PS 3,Cybercrime,2024-05-12,15.429755,75.064173,19,43,Closed,0
CR001696,Vijayapura,Vijayapura PS 1,Robbery,2024-08-11,16.801537,75.628633,63,50,Open,0
CR001697,Mysuru,Mysuru PS 1,Vehicle Theft,2024-06-30,12.25302,76.672918,74,23,Under Investigation,0
CR001698,Ballari,Ballari PS 5,Burglary,2023-11-30,15.209407,76.911033,61,49,Closed,0
CR001699,Kalaburagi,Kalaburagi PS 3,Drug Offence,2025-04-24,17.389611,76.820023,72,28,Charge Sheet Filed,0
CR001700,Bengaluru Urban,Bengaluru PS 3,Cybercrime,2025-04-16,12.976736,77.585041,38,64,Charge Sheet Filed,0
CR001701,Mysuru,Mysuru PS 4,Drug Offence,2023-09-17,12.279211,76.56297,63,28,Open,1
CR001702,Tumakuru,Tumakuru PS 2,Drug Offence,2023-03-06,13.306649,77.190656,20,63,Charge Sheet Filed,0
CR001703,Belagavi,Belagavi PS 2,Fraud,2024-08-12,15.802592,74.507352,47,63,Closed,0
CR001704,Belagavi,Belagavi PS 1,Robbery,2025-05-27,15.823548,74.460605,70,24,Open,0
CR001705,Bengaluru Urban,Bengaluru PS 4,Fraud,2024-08-16,12.920368,77.635368,58,57,Closed,0
CR001706,Mysuru,Mysuru PS 5,Burglary,2023-09-11,12.265302,76.693407,61,55,Under Investigation,1
CR001707,Dharwad,Dharwad PS 5,Robbery,2025-01-03,15.405507,75.009056,25,36,Open,0
CR001708,Dharwad,Dharwad PS 3,Burglary,2024-09-05,15.467178,75.029226,56,53,Closed,1
CR001709,Belagavi,Belagavi PS 4,Cybercrime,2023-11-28,15.848541,74.505028,42,45,Closed,0
CR001710,Kalaburagi,Kalaburagi PS 5,Theft,2024-02-06,17.251608,76.762168,56,23,Under Investigation,0
CR001711,Belagavi,Belagavi PS 1,Theft,2025-03-08,15.866666,74.527887,65,40,Open,1
CR001712,Belagavi,Belagavi PS 2,Drug Offence,2025-01-10,15.917483,74.50603,32,39,Open,0
CR001713,Shivamogga,Shivamogga PS 4,Vehicle Theft,2024-10-29,13.925285,75.547216,42,38,Under Investigation,0
CR001714,Vijayapura,Vijayapura PS 4,Cybercrime,2024-09-22,16.757019,75.690996,73,37,Under Investigation,1
CR001715,Vijayapura,Vijayapura PS 3,Robbery,2025-03-05,16.87677,75.644977,29,57,Closed,1
CR001716,Mangaluru,Mangaluru PS 4,Drug Offence,2025-05-10,12.898798,74.837022,35,31,Under Investigation,0
CR001717,Dharwad,Dharwad PS 2,Theft,2024-11-11,15.505272,75.088031,46,27,Closed,0
CR001718,Bengaluru Urban,Bengaluru PS 1,Fraud,2025-04-28,13.003398,77.555288,62,48,Open,0
CR001719,Mysuru,Mysuru PS 3,Theft,2024-03-18,12.344397,76.646571,67,38,Charge Sheet Filed,0
CR001720,Bengaluru Urban,Bengaluru PS 4,Drug Offence,2024-11-19,12.903139,77.559946,56,58,Open,0
CR001721,Dharwad,Dharwad PS 2,Robbery,2024-10-08,15.45501,74.877794,41,57,Charge Sheet Filed,1
CR001722,Ballari,Ballari PS 1,Cybercrime,2024-11-24,15.159805,76.876235,41,21,Charge Sheet Filed,0
CR001723,Vijayapura,Vijayapura PS 3,Burglary,2024-08-27,16.836862,75.808485,32,23,Charge Sheet Filed,0
CR001724,Dharwad,Dharwad PS 2,Assault,2023-09-09,15.390776,74.947124,36,51,Open,0
CR001725,Shivamogga,Shivamogga PS 2,Theft,2025-05-26,13.987203,75.680131,73,46,Charge Sheet Filed,0
CR001726,Kalaburagi,Kalaburagi PS 3,Robbery,2024-06-02,17.360736,76.762964,31,59,Under Investigation,0
CR001727,Mysuru,Mysuru PS 2,Robbery,2025-04-20,12.282862,76.614547,61,39,Under Investigation,0
CR001728,Tumakuru,Tumakuru PS 3,Burglary,2023-05-10,13.343086,77.16214,22,40,Under Investigation,0
CR001729,Ballari,Ballari PS 2,Robbery,2024-07-22,15.035542,76.882219,64,63,Under Investigation,0
CR001730,Mangaluru,Mangaluru PS 1,Vehicle Theft,2025-03-09,12.98422,74.825625,60,22,Charge Sheet Filed,0
CR001731,Mangaluru,Mangaluru PS 2,Robbery,2024-04-07,12.894576,74.92255,63,64,Charge Sheet Filed,0
CR001732,Tumakuru,Tumakuru PS 1,Cybercrime,2023-12-24,13.288554,77.067569,69,35,Closed,0
CR001733,Vijayapura,Vijayapura PS 1,Drug Offence,2023-09-02,16.795736,75.67575,53,38,Under Investigation,0
CR001734,Shivamogga,Shivamogga PS 1,Drug Offence,2023-08-05,13.942122,75.563231,52,34,Under Investigation,0
CR001735,Mangaluru,Mangaluru PS 4,Cybercrime,2023-02-16,12.858641,74.842707,60,51,Closed,0
CR001736,Shivamogga,Shivamogga PS 5,Theft,2024-12-11,13.915794,75.536557,69,61,Charge Sheet Filed,1
CR001737,Mysuru,Mysuru PS 2,Drug Offence,2024-04-26,12.255117,76.600917,67,59,Closed,1
CR001738,Bengaluru Urban,Bengaluru PS 3,Drug Offence,2024-05-20,12.955812,77.593452,40,58,Under Investigation,1
CR001739,Ballari,Ballari PS 2,Fraud,2023-01-31,15.148285,76.881667,22,29,Closed,0
CR001740,Bengaluru Urban,Bengaluru PS 4,Burglary,2025-01-15,12.929038,77.554737,60,30,Open,0
CR001741,Dharwad,Dharwad PS 3,Theft,2023-10-17,15.415865,74.955992,63,56,Open,1
CR001742,Tumakuru,Tumakuru PS 5,Cybercrime,2025-06-15,13.278646,77.124463,69,31,Under Investigation,1
CR001743,Belagavi,Belagavi PS 5,Theft,2024-01-03,15.84821,74.523929,26,48,Under Investigation,0
CR001744,Mangaluru,Mangaluru PS 2,Assault,2024-03-31,12.910248,74.900372,36,47,Open,0
CR001745,Mangaluru,Mangaluru PS 2,Assault,2024-05-30,13.022564,74.847716,64,49,Under Investigation,0
CR001746,Dharwad,Dharwad PS 5,Drug Offence,2023-12-14,15.401743,75.013792,52,45,Closed,0
CR001747,Bengaluru Urban,Bengaluru PS 4,Theft,2023-03-22,12.934633,77.687223,40,44,Open,0
CR001748,Ballari,Ballari PS 1,Cybercrime,2023-11-12,15.125546,76.917842,24,22,Under Investigation,0
CR001749,Belagavi,Belagavi PS 1,Robbery,2025-04-18,15.819192,74.527342,74,38,Closed,0
CR001750,Bengaluru Urban,Bengaluru PS 4,Theft,2023-06-17,12.975031,77.64771,44,36,Closed,0
CR001751,Ballari,Ballari PS 2,Drug Offence,2024-09-26,15.185289,76.981908,22,29,Charge Sheet Filed,0
CR001752,Mangaluru,Mangaluru PS 5,Theft,2025-01-27,12.902029,74.903151,70,18,Closed,0
CR001753,Ballari,Ballari PS 3,Assault,2025-01-24,15.244185,76.898482,72,25,Open,0
CR001754,Bengaluru Urban,Bengaluru PS 1,Burglary,2023-07-31,13.026266,77.632402,66,44,Open,1
CR001755,Mysuru,Mysuru PS 1,Cybercrime,2023-08-03,12.225571,76.599679,35,64,Open,0
CR001756,Mysuru,Mysuru PS 5,Drug Offence,2024-02-17,12.273677,76.730458,20,19,Open,0
CR001757,Ballari,Ballari PS 2,Cybercrime,2023-03-06,15.186611,76.931158,52,58,Open,0
CR001758,Bengaluru Urban,Bengaluru PS 5,Vehicle Theft,2023-02-22,12.908247,77.584296,28,51,Open,0
CR001759,Vijayapura,Vijayapura PS 5,Drug Offence,2024-06-26,16.742612,75.766442,33,42,Closed,0
CR001760,Tumakuru,Tumakuru PS 2,Cybercrime,2023-02-09,13.396438,77.138759,33,35,Open,0
CR001761,Mysuru,Mysuru PS 3,Theft,2025-02-19,12.359086,76.678975,30,49,Closed,0
CR001762,Kalaburagi,Kalaburagi PS 4,Theft,2023-03-21,17.320978,76.796929,38,42,Under Investigation,0
CR001763,Bengaluru Urban,Bengaluru PS 4,Theft,2023-03-31,12.899468,77.599578,39,51,Closed,1
CR001764,Tumakuru,Tumakuru PS 3,Burglary,2023-08-22,13.257517,77.150528,60,31,Closed,0
CR001765,Belagavi,Belagavi PS 5,Drug Offence,2024-12-12,15.818,74.479702,30,20,Open,0
CR001766,Belagavi,Belagavi PS 4,Vehicle Theft,2024-01-18,15.839753,74.494643,67,43,Open,0
CR001767,Mangaluru,Mangaluru PS 2,Cybercrime,2023-07-14,12.904771,74.96456,50,31,Closed,0
CR001768,Tumakuru,Tumakuru PS 4,Cybercrime,2023-05-26,13.382223,77.063751,59,64,Open,0
CR001769,Kalaburagi,Kalaburagi PS 2,Fraud,2023-06-11,17.301104,76.875066,36,55,Charge Sheet Filed,0
CR001770,Vijayapura,Vijayapura PS 1,Fraud,2025-04-14,16.817831,75.833862,22,36,Under Investigation,0
CR001771,Tumakuru,Tumakuru PS 1,Fraud,2023-07-20,13.306023,77.020059,59,51,Open,0
CR001772,Vijayapura,Vijayapura PS 5,Burglary,2024-10-26,16.852023,75.73405,20,32,Charge Sheet Filed,0
CR001773,Dharwad,Dharwad PS 1,Robbery,2024-02-25,15.53677,74.955665,50,24,Closed,0
CR001774,Shivamogga,Shivamogga PS 1,Theft,2025-04-03,13.930713,75.594556,69,24,Charge Sheet Filed,1
CR001775,Mysuru,Mysuru PS 3,Theft,2025-04-02,12.265936,76.670229,57,61,Closed,0
CR001776,Shivamogga,Shivamogga PS 2,Theft,2024-09-14,13.868896,75.51049,37,36,Under Investigation,0
CR001777,Ballari,Ballari PS 1,Drug Offence,2024-12-23,15.109286,76.893964,55,46,Open,0
CR001778,Bengaluru Urban,Bengaluru PS 1,Vehicle Theft,2024-08-26,12.982866,77.661981,56,57,Charge Sheet Filed,0
CR001779,Ballari,Ballari PS 1,Theft,2024-04-20,15.052982,76.85897,19,21,Charge Sheet Filed,0
CR001780,Belagavi,Belagavi PS 4,Fraud,2023-12-09,15.770885,74.517438,60,36,Under Investigation,0
CR001781,Shivamogga,Shivamogga PS 4,Drug Offence,2023-07-01,13.92219,75.572593,28,55,Under Investigation,0
CR001782,Belagavi,Belagavi PS 5,Robbery,2024-05-09,15.835581,74.414601,32,54,Open,0
CR001783,Bengaluru Urban,Bengaluru PS 1,Fraud,2024-08-12,13.012525,77.554834,62,47,Under Investigation,0
CR001784,Mangaluru,Mangaluru PS 4,Cybercrime,2023-05-14,12.935883,74.938913,54,44,Open,0
CR001785,Belagavi,Belagavi PS 3,Vehicle Theft,2024-10-16,15.844301,74.492051,48,36,Open,0
CR001786,Vijayapura,Vijayapura PS 1,Robbery,2025-06-18,16.875385,75.68613,32,51,Under Investigation,0
CR001787,Bengaluru Urban,Bengaluru PS 4,Drug Offence,2023-10-04,12.953514,77.603533,34,19,Closed,1
CR001788,Tumakuru,Tumakuru PS 2,Vehicle Theft,2024-11-18,13.317569,77.082575,42,47,Open,0
CR001789,Tumakuru,Tumakuru PS 4,Assault,2023-10-26,13.339012,77.107701,27,47,Closed,0
CR001790,Belagavi,Belagavi PS 4,Vehicle Theft,2023-10-03,15.791411,74.590542,66,43,Under Investigation,0
CR001791,Belagavi,Belagavi PS 3,Cybercrime,2023-07-23,15.872203,74.468221,63,62,Open,0
CR001792,Bengaluru Urban,Bengaluru PS 4,Fraud,2023-10-05,12.996462,77.619357,29,21,Closed,1
CR001793,Tumakuru,Tumakuru PS 2,Cybercrime,2025-05-19,13.284643,77.104795,20,36,Charge Sheet Filed,0
CR001794,Ballari,Ballari PS 1,Vehicle Theft,2024-05-22,15.183069,76.938325,36,20,Under Investigation,0
CR001795,Tumakuru,Tumakuru PS 3,Vehicle Theft,2023-10-14,13.350531,77.0938,64,26,Closed,0
CR001796,Dharwad,Dharwad PS 2,Cybercrime,2023-02-09,15.454391,75.058825,21,32,Charge Sheet Filed,1
CR001797,Tumakuru,Tumakuru PS 3,Drug Offence,2024-12-11,13.435122,77.0693,24,27,Open,0
CR001798,Belagavi,Belagavi PS 2,Theft,2024-04-21,15.870918,74.519589,57,29,Charge Sheet Filed,0
CR001799,Vijayapura,Vijayapura PS 2,Drug Offence,2024-02-13,16.892068,75.697114,28,53,Open,0
CR001800,Kalaburagi,Kalaburagi PS 3,Cybercrime,2023-01-07,17.329773,76.73741,39,30,Open,1
CR001801,Bengaluru Urban,Bengaluru PS 1,Assault,2025-06-05,13.129377,77.620283,60,58,Open,1
CR001802,Belagavi,Belagavi PS 1,Theft,2024-11-15,15.929995,74.521445,32,34,Open,0
CR001803,Belagavi,Belagavi PS 2,Theft,2025-01-05,15.885317,74.526757,22,20,Open,0
CR001804,Shivamogga,Shivamogga PS 3,Cybercrime,2025-06-04,13.920695,75.517554,19,64,Open,0
CR001805,Ballari,Ballari PS 3,Drug Offence,2025-04-01,15.107155,76.884928,29,26,Open,0
CR001806,Mysuru,Mysuru PS 3,Fraud,2023-12-06,12.303682,76.655408,27,41,Open,0
CR001807,Shivamogga,Shivamogga PS 2,Vehicle Theft,2023-06-13,13.933521,75.571496,34,30,Charge Sheet Filed,0
CR001808,Kalaburagi,Kalaburagi PS 2,Cybercrime,2024-05-12,17.290289,76.781403,23,31,Closed,0
CR001809,Dharwad,Dharwad PS 2,Robbery,2024-08-12,15.489479,75.05264,53,41,Under Investigation,0
CR001810,Mysuru,Mysuru PS 4,Robbery,2023-11-13,12.250244,76.622681,24,64,Under Investigation,0
CR001811,Belagavi,Belagavi PS 1,Cybercrime,2023-11-21,15.777758,74.602463,36,26,Closed,0
CR001812,Dharwad,Dharwad PS 2,Fraud,2023-02-16,15.472588,75.00676,52,48,Charge Sheet Filed,0
CR001813,Shivamogga,Shivamogga PS 3,Drug Offence,2024-09-04,13.970191,75.570301,49,62,Under Investigation,0
CR001814,Dharwad,Dharwad PS 5,Theft,2025-05-19,15.465578,75.041583,24,22,Closed,0
CR001815,Tumakuru,Tumakuru PS 3,Theft,2025-03-19,13.383992,77.137852,37,49,Charge Sheet Filed,0
CR001816,Kalaburagi,Kalaburagi PS 4,Theft,2023-04-19,17.369189,76.83677,30,56,Charge Sheet Filed,0
CR001817,Bengaluru Urban,Bengaluru PS 1,Fraud,2024-04-09,12.905101,77.615859,28,60,Under Investigation,0
CR001818,Kalaburagi,Kalaburagi PS 4,Fraud,2023-12-02,17.407941,76.802193,58,46,Closed,0
CR001819,Shivamogga,Shivamogga PS 3,Drug Offence,2025-05-22,13.974155,75.67061,42,63,Closed,0
CR001820,Vijayapura,Vijayapura PS 5,Robbery,2023-03-02,16.762567,75.706329,57,19,Under Investigation,0
CR001821,Kalaburagi,Kalaburagi PS 3,Fraud,2023-10-13,17.232662,76.788889,60,42,Charge Sheet Filed,0
CR001822,Dharwad,Dharwad PS 2,Vehicle Theft,2025-05-18,15.459452,74.949563,18,23,Closed,1
CR001823,Shivamogga,Shivamogga PS 4,Burglary,2023-05-13,13.946251,75.541858,39,25,Under Investigation,0
CR001824,Mysuru,Mysuru PS 3,Drug Offence,2024-12-25,12.313979,76.690194,54,60,Under Investigation,0
CR001825,Tumakuru,Tumakuru PS 3,Cybercrime,2024-04-16,13.367158,76.981573,67,19,Closed,0
CR001826,Shivamogga,Shivamogga PS 1,Burglary,2025-01-05,13.927993,75.557573,52,54,Closed,1
CR001827,Tumakuru,Tumakuru PS 1,Theft,2023-04-20,13.306106,77.07205,65,55,Charge Sheet Filed,0
CR001828,Tumakuru,Tumakuru PS 5,Vehicle Theft,2024-02-14,13.348397,77.125247,65,33,Charge Sheet Filed,0
CR001829,Ballari,Ballari PS 5,Robbery,2025-06-15,15.113628,76.92273,25,18,Under Investigation,1
CR001830,Ballari,Ballari PS 3,Theft,2024-10-12,15.184539,76.898038,55,58,Under Investigation,0
CR001831,Mysuru,Mysuru PS 4,Burglary,2025-05-09,12.129744,76.609889,22,38,Under Investigation,0
CR001832,Mangaluru,Mangaluru PS 1,Vehicle Theft,2023-03-18,12.858895,74.772064,30,45,Under Investigation,0
CR001833,Shivamogga,Shivamogga PS 4,Vehicle Theft,2025-02-23,13.928923,75.532419,50,28,Open,0
CR001834,Tumakuru,Tumakuru PS 5,Drug Offence,2024-07-02,13.370819,77.089223,64,24,Under Investigation,0
CR001835,Mangaluru,Mangaluru PS 2,Drug Offence,2024-05-13,13.036163,74.886475,23,25,Charge Sheet Filed,0
CR001836,Bengaluru Urban,Bengaluru PS 2,Vehicle Theft,2025-02-15,12.948931,77.627324,67,61,Under Investigation,0
CR001837,Kalaburagi,Kalaburagi PS 1,Drug Offence,2023-08-01,17.3521,76.864493,58,47,Charge Sheet Filed,0
CR001838,Belagavi,Belagavi PS 1,Drug Offence,2024-08-23,15.787241,74.480218,65,21,Open,1
CR001839,Mangaluru,Mangaluru PS 1,Vehicle Theft,2024-02-06,12.889161,74.829123,31,28,Closed,0
CR001840,Mangaluru,Mangaluru PS 4,Theft,2024-11-21,12.873409,74.865023,21,28,Open,1
CR001841,Kalaburagi,Kalaburagi PS 4,Cybercrime,2024-09-02,17.272686,76.86567,38,18,Open,0
CR001842,Ballari,Ballari PS 3,Theft,2025-05-01,15.10831,76.836515,65,40,Under Investigation,1
CR001843,Kalaburagi,Kalaburagi PS 2,Fraud,2023-04-08,17.306635,76.86208,69,62,Closed,0
CR001844,Ballari,Ballari PS 5,Vehicle Theft,2023-06-12,15.077656,76.848821,29,19,Open,0
CR001845,Tumakuru,Tumakuru PS 1,Cybercrime,2023-10-23,13.27497,77.155347,55,45,Closed,0
CR001846,Shivamogga,Shivamogga PS 4,Drug Offence,2023-09-26,13.898388,75.489576,60,45,Under Investigation,0
CR001847,Shivamogga,Shivamogga PS 2,Robbery,2023-10-17,13.974298,75.553627,71,25,Open,1
CR001848,Vijayapura,Vijayapura PS 5,Drug Offence,2023-10-13,16.756297,75.722147,64,26,Under Investigation,0
CR001849,Ballari,Ballari PS 5,Vehicle Theft,2023-11-30,15.198201,76.978138,61,32,Charge Sheet Filed,0
CR001850,Tumakuru,Tumakuru PS 1,Cybercrime,2023-02-13,13.337035,77.012526,59,27,Charge Sheet Filed,0
CR001851,Dharwad,Dharwad PS 3,Robbery,2023-11-18,15.512372,75.007593,21,18,Closed,0
CR001852,Vijayapura,Vijayapura PS 2,Assault,2024-01-20,16.833777,75.76393,59,18,Closed,0
CR001853,Kalaburagi,Kalaburagi PS 3,Fraud,2025-04-07,17.383401,76.86718,56,63,Closed,0
CR001854,Belagavi,Belagavi PS 5,Drug Offence,2024-08-12,15.834321,74.449312,67,63,Charge Sheet Filed,0
CR001855,Vijayapura,Vijayapura PS 1,Fraud,2024-08-28,16.830829,75.75337,37,28,Under Investigation,1
CR001856,Mangaluru,Mangaluru PS 3,Vehicle Theft,2023-10-28,12.821303,74.880314,51,41,Under Investigation,0
CR001857,Bengaluru Urban,Bengaluru PS 3,Burglary,2025-01-28,12.983221,77.59215,65,51,Charge Sheet Filed,0
CR001858,Ballari,Ballari PS 5,Assault,2025-03-24,15.260087,76.997252,51,49,Open,0
CR001859,Mysuru,Mysuru PS 1,Robbery,2024-10-08,12.336012,76.624723,62,33,Open,1
CR001860,Dharwad,Dharwad PS 4,Cybercrime,2023-05-16,15.378304,75.091375,73,34,Charge Sheet Filed,0
CR001861,Dharwad,Dharwad PS 5,Drug Offence,2024-04-18,15.507763,75.016785,71,44,Charge Sheet Filed,0
CR001862,Belagavi,Belagavi PS 3,Vehicle Theft,2025-04-25,15.845545,74.552534,24,45,Under Investigation,1
CR001863,Tumakuru,Tumakuru PS 4,Burglary,2025-06-13,13.348586,77.105156,30,35,Closed,1
CR001864,Bengaluru Urban,Bengaluru PS 1,Drug Offence,2024-12-12,13.046158,77.579573,39,30,Under Investigation,0
CR001865,Shivamogga,Shivamogga PS 1,Cybercrime,2023-09-22,13.997886,75.496389,40,47,Closed,0
CR001866,Shivamogga,Shivamogga PS 3,Theft,2023-05-15,13.969099,75.557607,48,22,Under Investigation,0
CR001867,Mysuru,Mysuru PS 5,Theft,2023-09-20,12.321233,76.687911,33,41,Charge Sheet Filed,0
CR001868,Belagavi,Belagavi PS 2,Assault,2023-04-14,15.889593,74.486599,57,33,Under Investigation,0
CR001869,Dharwad,Dharwad PS 4,Theft,2024-10-13,15.403693,74.959904,53,37,Under Investigation,0
CR001870,Vijayapura,Vijayapura PS 1,Vehicle Theft,2023-06-26,16.928138,75.681618,24,53,Open,0
CR001871,Vijayapura,Vijayapura PS 3,Cybercrime,2024-03-25,16.772459,75.67621,34,24,Charge Sheet Filed,0
CR001872,Bengaluru Urban,Bengaluru PS 5,Vehicle Theft,2023-01-16,12.972883,77.601283,64,60,Open,0
CR001873,Mysuru,Mysuru PS 5,Theft,2024-03-31,12.35212,76.63447,34,54,Under Investigation,0
CR001874,Bengaluru Urban,Bengaluru PS 3,Drug Offence,2023-10-05,12.928197,77.571968,27,35,Closed,0
CR001875,Mysuru,Mysuru PS 1,Robbery,2023-06-07,12.285111,76.589235,25,34,Open,0
CR001876,Kalaburagi,Kalaburagi PS 1,Drug Offence,2024-12-23,17.313182,76.895667,27,29,Charge Sheet Filed,0
CR001877,Tumakuru,Tumakuru PS 1,Vehicle Theft,2025-02-10,13.297605,77.100372,24,49,Charge Sheet Filed,1
CR001878,Tumakuru,Tumakuru PS 5,Drug Offence,2025-06-10,13.389096,77.098778,47,33,Charge Sheet Filed,0
CR001879,Mysuru,Mysuru PS 5,Vehicle Theft,2025-03-02,12.242322,76.628066,46,39,Charge Sheet Filed,0
CR001880,Kalaburagi,Kalaburagi PS 2,Burglary,2024-11-18,17.24266,76.851958,70,63,Charge Sheet Filed,1
CR001881,Kalaburagi,Kalaburagi PS 2,Vehicle Theft,2024-02-22,17.294523,76.873362,34,37,Open,0
CR001882,Ballari,Ballari PS 5,Robbery,2024-06-03,15.161592,76.843887,63,27,Under Investigation,0
CR001883,Mangaluru,Mangaluru PS 5,Theft,2023-05-22,12.948167,74.846898,20,47,Under Investigation,0
CR001884,Shivamogga,Shivamogga PS 5,Cybercrime,2024-02-04,13.925389,75.648544,32,18,Charge Sheet Filed,0
CR001885,Mangaluru,Mangaluru PS 4,Drug Offence,2023-10-16,12.910108,74.82542,56,30,Charge Sheet Filed,0
CR001886,Tumakuru,Tumakuru PS 4,Robbery,2023-01-21,13.387876,77.01483,41,64,Open,0
CR001887,Mangaluru,Mangaluru PS 4,Fraud,2024-03-09,12.992886,74.85694,32,36,Charge Sheet Filed,0
CR001888,Shivamogga,Shivamogga PS 5,Fraud,2024-12-27,13.949977,75.610545,38,37,Open,1
CR001889,Bengaluru Urban,Bengaluru PS 5,Drug Offence,2023-03-05,13.011233,77.578911,43,30,Charge Sheet Filed,0
CR001890,Mangaluru,Mangaluru PS 1,Robbery,2023-07-09,12.873613,74.793439,47,28,Charge Sheet Filed,0
CR001891,Tumakuru,Tumakuru PS 3,Vehicle Theft,2023-06-01,13.385393,77.122038,18,20,Charge Sheet Filed,0
CR001892,Bengaluru Urban,Bengaluru PS 1,Fraud,2023-09-02,12.918771,77.619339,29,27,Under Investigation,0
CR001893,Mangaluru,Mangaluru PS 5,Drug Offence,2024-06-08,12.908567,74.895999,40,31,Charge Sheet Filed,0
CR001894,Belagavi,Belagavi PS 1,Theft,2024-03-08,15.848585,74.514878,53,50,Charge Sheet Filed,0
CR001895,Bengaluru Urban,Bengaluru PS 1,Theft,2025-01-19,13.009997,77.56828,18,51,Under Investigation,0
CR001896,Dharwad,Dharwad PS 1,Robbery,2023-02-11,15.450166,75.115699,60,22,Open,0
CR001897,Belagavi,Belagavi PS 3,Assault,2023-03-15,15.91131,74.519569,25,41,Closed,1
CR001898,Belagavi,Belagavi PS 2,Robbery,2024-10-12,15.878918,74.449634,42,56,Under Investigation,0
CR001899,Dharwad,Dharwad PS 3,Robbery,2024-07-20,15.492049,75.116927,68,63,Closed,0
CR001900,Mysuru,Mysuru PS 4,Cybercrime,2024-02-04,12.238569,76.676455,18,18,Under Investigation,0
CR001901,Ballari,Ballari PS 5,Vehicle Theft,2024-08-26,15.15436,76.89022,62,50,Under Investigation,0
CR001902,Bengaluru Urban,Bengaluru PS 1,Robbery,2023-07-15,12.930619,77.594898,61,33,Under Investigation,1
CR001903,Kalaburagi,Kalaburagi PS 4,Burglary,2023-03-29,17.338956,76.883362,25,41,Charge Sheet Filed,0
CR001904,Dharwad,Dharwad PS 2,Assault,2023-06-25,15.451508,74.955397,64,57,Under Investigation,0
CR001905,Belagavi,Belagavi PS 2,Fraud,2024-12-25,15.837567,74.626715,49,29,Charge Sheet Filed,1
CR001906,Kalaburagi,Kalaburagi PS 3,Robbery,2023-08-19,17.272728,76.817453,40,30,Under Investigation,1
CR001907,Mysuru,Mysuru PS 4,Robbery,2024-02-24,12.203417,76.738729,71,51,Open,1
CR001908,Mysuru,Mysuru PS 5,Assault,2023-02-23,12.331527,76.654853,70,26,Under Investigation,0
CR001909,Vijayapura,Vijayapura PS 3,Assault,2023-02-27,16.768909,75.731744,66,51,Under Investigation,0
